sen1,sen2,sen3,sen4,sen5,value
1.71,1.72,0.89,4.62,4.37,1.0
1.71,1.72,0.89,4.62,4.45,1.0
1.71,1.72,0.89,4.62,4.49,1.0
1.72,1.72,0.88,4.61,4.54,1.0
1.71,1.72,0.88,4.61,4.5,1.0
1.71,1.72,0.88,4.62,4.55,1.0
1.71,1.72,0.88,4.61,4.57,1.0
1.72,1.72,0.88,4.61,4.52,1.0
1.71,1.72,0.88,4.62,4.57,1.0
1.72,1.72,0.88,4.62,4.56,1.0
1.72,1.72,0.88,4.62,4.53,1.0
1.71,1.72,0.88,4.61,4.59,1.0
1.71,1.72,0.88,4.62,4.56,1.0
1.71,1.72,0.88,4.62,4.54,1.0
1.71,1.72,0.88,4.62,4.59,1.0
1.71,1.72,0.88,4.62,4.56,1.0
1.71,1.72,0.88,4.62,4.57,1.0
1.72,1.72,0.88,4.61,4.6,1.0
1.71,1.72,0.87,4.62,4.56,1.0
1.71,1.72,0.87,4.61,4.59,1.0
1.71,1.72,0.87,4.62,4.6,1.0
1.71,1.72,0.87,4.62,4.56,1.0
1.71,1.72,0.87,4.62,4.61,1.0
1.71,1.72,0.87,4.61,4.61,1.0
1.71,1.72,0.87,4.62,4.58,1.0
1.71,1.72,0.87,4.62,4.63,1.0
1.71,1.72,0.87,4.61,4.62,1.0
1.71,1.72,0.87,4.62,4.61,1.0
1.71,1.72,0.87,4.62,4.65,1.0
1.71,1.72,0.87,4.62,4.61,1.0
1.71,1.72,0.87,4.62,4.6,1.0
1.71,1.72,0.87,4.62,4.62,1.0
1.71,1.72,0.87,4.62,4.56,1.0
1.71,1.72,0.87,4.62,4.58,1.0
1.71,1.72,0.87,4.62,4.6,1.0
1.71,1.72,0.87,4.61,4.55,1.0
1.71,1.72,0.86,4.62,4.59,1.0
1.71,1.72,0.86,4.61,4.58,1.0
1.71,1.72,0.86,4.61,4.53,1.0
1.71,1.72,0.86,4.62,4.71,1.0
1.71,1.72,0.86,4.62,4.99,1.0
1.71,1.72,0.86,4.62,4.97,1.0
1.71,1.72,0.86,4.62,4.99,1.0
1.72,1.72,0.86,4.62,4.92,1.0
1.71,1.72,0.86,4.62,4.78,1.0
1.71,1.72,0.86,4.62,4.67,1.0
1.71,1.72,0.86,4.62,4.62,1.0
1.71,1.72,0.86,4.62,4.76,1.0
1.71,1.72,0.86,4.61,4.96,1.0
1.71,1.72,0.85,4.62,4.92,1.0
1.71,1.72,0.85,4.62,4.85,1.0
1.71,1.72,0.85,4.62,4.71,1.0
1.71,1.72,0.85,4.62,4.38,1.0
1.71,1.72,0.85,4.61,4.23,1.0
1.71,1.72,0.85,4.62,4.4,1.0
1.71,1.71,0.85,4.61,4.66,1.0
1.71,1.72,0.85,4.62,4.98,1.0
1.71,1.72,0.85,4.62,4.95,1.0
1.71,1.72,0.85,4.62,4.85,1.0
1.71,1.72,0.85,4.61,4.74,1.0
1.82,1.87,0.84,4.6,4.34,2.0
1.82,1.87,0.83,4.6,4.44,2.0
1.82,1.87,0.83,4.61,4.47,2.0
1.82,1.87,0.83,4.61,4.46,2.0
1.82,1.87,0.84,4.6,4.52,2.0
1.82,1.87,0.83,4.6,4.51,2.0
1.82,1.87,0.84,4.61,4.52,2.0
1.82,1.87,0.83,4.6,4.56,2.0
1.83,1.87,0.83,4.61,4.54,2.0
1.83,1.87,0.83,4.61,4.68,2.0
1.83,1.87,0.83,4.61,4.91,2.0
1.83,1.87,0.83,4.61,4.92,2.0
1.83,1.87,0.83,4.61,4.93,2.0
1.83,1.87,0.83,4.61,4.85,2.0
1.83,1.87,0.83,4.61,4.77,2.0
1.83,1.87,0.83,4.61,4.88,2.0
1.83,1.87,0.83,4.61,4.94,2.0
1.83,1.87,0.83,4.62,4.92,2.0
1.83,1.87,0.83,4.61,4.92,2.0
1.83,1.87,0.83,4.61,4.77,2.0
1.83,1.88,0.84,4.61,4.57,2.0
1.84,1.88,0.85,4.6,4.53,2.0
1.83,1.88,0.85,4.6,4.54,2.0
1.83,1.88,0.84,4.6,4.65,2.0
1.83,1.87,0.84,4.6,4.76,2.0
1.83,1.87,0.84,4.6,4.7,2.0
1.83,1.87,0.84,4.61,4.66,2.0
1.83,1.87,0.84,4.61,4.54,2.0
1.84,1.88,0.85,4.61,4.44,2.0
1.84,1.88,0.85,4.61,4.55,2.0
1.84,1.88,0.85,4.61,4.65,2.0
1.84,1.88,0.85,4.61,4.68,2.0
1.84,1.88,0.85,4.61,4.73,2.0
1.84,1.88,0.84,4.62,4.65,2.0
1.84,1.88,0.85,4.62,4.46,2.0
1.83,1.87,0.84,4.61,4.43,2.0
1.84,1.88,0.84,4.61,4.49,2.0
1.83,1.87,0.84,4.6,4.64,2.0
1.83,1.87,0.83,4.61,4.8,2.0
1.83,1.87,0.83,4.61,4.78,2.0
1.83,1.87,0.83,4.61,4.73,2.0
1.83,1.87,0.83,4.61,4.63,2.0
1.86,1.9,0.86,4.65,4.32,2.0
1.84,1.88,0.85,4.61,4.17,2.0
1.84,1.87,0.84,4.61,4.27,2.0
1.84,1.87,0.84,4.6,4.5,2.0
1.84,1.87,0.84,4.6,4.75,2.0
1.83,1.87,0.84,4.59,4.8,2.0
1.83,1.86,0.83,4.59,4.74,2.0
1.82,1.86,0.83,4.6,4.72,2.0
1.82,1.86,0.82,4.59,4.49,2.0
1.82,1.85,0.82,4.59,4.11,2.0
